id,event_id,map,date,team1,team2,team1_score,team2_score,team1_rating,team2_rating,team1_first_kills,team2_first_kills,team1_clutches,team2_clutches
70995,3515,5,2018-07-29 18:30,6665,5973,16,12,1.10 , 0.94,15 , 12,3 , 0
68916,3649,3,2018-06-17 20:30,6667,4494,16,9,1.36 , 0.77,14 , 11,0 , 2
70988,3515,4,2018-07-29 18:30,6665,5973,16,5,1.41 , 0.62,13 , 8,2 , 0
68917,3649,2,2018-06-17 20:30,6667,4494,16,10,1.22 , 0.89,9 , 17,4 , 0
68110,3666,3,2018-06-03 18:00,6673,4608,7,16,0.87 , 1.40,7 , 16,2 , 4
68913,3649,6,2018-06-17 20:30,6667,4494,12,16,0.93 , 1.15,16 , 12,2 , 1
68101,3666,8,2018-06-03 18:00,6673,4608,8,16,0.84 , 1.21,10 , 14,0 , 0
65684,3491,4,2018-04-22 14:50,4608,6665,11,16,1.01 , 1.06,14 , 13,0 , 2
61821,3486,6,2018-02-25 19:15,4494,4608,16,9,1.09 , 1.03,7 , 18,2 , 1
57534,2956,8,2017-11-19 21:20,4411,6667,6,16,0.71 , 1.42,7 , 15,2 , 2
57535,2956,1,2017-11-19 21:20,4411,6667,16,10,1.02 , 1.04,11 , 15,3 , 1
57532,2956,6,2017-11-19 21:20,4411,6667,16,10,1.18 , 0.89,14 , 12,2 , 1
57530,2956,4,2017-11-19 21:20,4411,6667,7,16,0.79 , 1.23,11 , 12,1 , 2
57527,2956,7,2017-11-19 21:20,4411,6667,16,10,1.23 , 0.86,15 , 11,1 , 3
57498,2956,8,2017-11-19 01:15,6667,5752,16,6,1.35 , 0.81,13 , 9,3 , 0
57494,2956,6,2017-11-19 01:15,6667,5752,16,8,1.16 , 0.93,12 , 12,6 , 1
57492,2956,4,2017-11-18 21:05,6137,4411,11,16,0.85 , 1.21,12 , 15,1 , 0
57490,2956,1,2017-11-18 21:05,6137,4411,16,8,1.38 , 0.78,15 , 9,2 , 2
57488,2956,8,2017-11-18 21:05,6137,4411,9,16,0.85 , 1.27,13 , 12,2 , 2
49967,2720,4,2017-07-23 15:15,6651,7010,16,10,1.25 , 0.91,15 , 11,4 , 0
49953,2720,4,2017-07-22 13:30,6651,6665,8,16,0.82 , 1.26,12 , 12,1 , 1
49966,2720,6,2017-07-23 15:15,6651,7010,16,11,1.23 , 0.88,18 , 9,1 , 1
49962,2720,7,2017-07-23 15:15,6651,7010,4,16,0.60 , 1.61,6 , 14,0 , 3
49956,2720,3,2017-07-22 17:50,7010,5378,16,11,1.09 , 1.01,13 , 14,2 , 2
49955,2720,4,2017-07-22 17:50,7010,5378,16,5,1.33 , 0.73,12 , 9,1 , 1
49954,2720,6,2017-07-22 13:30,6651,6665,16,12,1.15 , 0.88,14 , 14,1 , 0
49881,2720,7,2017-07-21 18:25,7532,7010,19,17,1.17 , 0.95,22 , 14,1 , 1
49951,2720,5,2017-07-22 10:45,7533,5378,10,16,0.84 , 1.18,9 , 17,1 , 0
