name;id;date;prize;location
IEM Katowice 2017;2637;Mar 1st - Mar 5th 2017;$250,000;Katowice, Poland;
ELEAGUE Season 2;2407;Oct 21st - Dec 3rd 2016;$1,100,000;Atlanta, Georgia, USA;
ESL One Belo Horizonte 2018;3649;Jun 13th - Jun 17th 201;$200,000;Belo Horizonte, Brazil;
ESL ESEA Pro League Season 2 Finals;1986;Dec 10th - Dec 13th 201;$250,000;Los Angeles, California, United States;
ESL One New York 2017;2636;Sep 15th - Sep 17th 201;$250,000;New York, New York, USA;
DreamHack Winter 2012;1021;Nov 22nd - Nov 24th 201;$45,275;Jönköping, Sweden;
ESL Pro League Season 7 Finals;3373;May 15th - May 20th 201;$750,000;Dallas, Texas, USA;
Copenhagen Games 2013;1094;Mar 29th - Mar 31st 201;$42,314;Copenhagen, Denmark;
EPICENTER 2017;3133;Oct 24th - Oct 29th 201;$490,000;Saint Petersburg, Russia;
ESWC 2012;1003;Nov 2nd - Nov 4th 2012;$22,000;Paris, France;
ECS Season 2 Finals;2367;Dec 9th - Dec 11th 2016;$660,000;Anaheim, California, USA;
DreamHack Masters Las Vegas 2017;2541;Feb 15th - Feb 19th 201;$450,000;Las Vegas, Nevada, USA;
DreamHack Winter 2013;1270;Nov 28th - Nov 30th 201;$250,000;Jönköping, Sweden;
BLAST Pro Series Copenhagen 2017;2998;Nov 24th - Nov 25th 201;$250,000;Copenhagen, Denmark;
MLG Columbus 2016;2027;Mar 29th - Apr 3rd 2016;$1,000,000;Columbus, Ohio, USA;
IEM Oakland 2016;2261;Nov 16th - Nov 20th 201;$300,000;Oakland, California, USA;
ESL Pro League Season 4 Finals;2306;Oct 26th - Oct 30th 201;$600,000;São Paulo, Brazil;
DreamHack Masters Marseille 2018;3491;Apr 18th - Apr 22nd 201;$250,000;Marseille, France;
ELEAGUE CS:GO Premier 2017;3016;Sep 8th - Oct 13th 2017;$1,000,000;Atlanta, Georgia, USA;
ESL One Cologne 2017;2635;Jul 4th - Jul 9th 2017;$250,000;Cologne, Germany;
ESL Pro League Season 5 Finals;2557;May 30th - Jun 4th 2017;$750,000;Dallas, Texas, USA;
StarSeries i-League Season 5;3666;May 28th - Jun 3rd 2018;$300,000;Kiev, Ukraine;
DreamHack Masters Malmö 2016;2099;Apr 12th - Apr 17th 201;$250,000;Malmö, Sweden;
