match_id;kill_type;player1;player1_kills;player2;player2_kills
70102;All;tabseN;3;Zeus;3;
70102;All;tabseN;6;Edward;4;
70102;All;tabseN;7;flamie;5;
70102;All;tabseN;2;electronic;3;
70102;All;tabseN;8;s1mple;4;
70102;All;tiziaN;1;Edward;3;
70102;All;tiziaN;2;electronic;3;
70102;All;tiziaN;2;Zeus;7;
70102;All;tiziaN;0;flamie;3;
70102;All;tiziaN;0;s1mple;2;
70102;All;smooya;5;Edward;3;
70102;All;smooya;7;Zeus;2;
70102;All;smooya;2;electronic;7;
70102;All;smooya;2;flamie;1;
70102;All;smooya;1;s1mple;2;
70102;All;nex;0;Edward;1;
70102;All;nex;2;electronic;3;
70102;All;nex;2;Zeus;4;
70102;All;nex;0;flamie;6;
70102;All;nex;0;s1mple;5;
70102;All;gob b;1;Edward;3;
70102;All;gob b;2;Zeus;1;
70102;All;gob b;1;electronic;8;
70102;All;gob b;3;flamie;5;
70102;All;gob b;3;s1mple;3;
70102;First Kills;tabseN;2;Edward;1;
70102;First Kills;tabseN;0;Zeus;0;
70102;First Kills;tabseN;0;electronic;0;
70102;First Kills;tabseN;1;flamie;0;
70102;First Kills;tabseN;2;s1mple;1;
70102;First Kills;tiziaN;0;Edward;0;
70102;First Kills;tiziaN;1;Zeus;3;
70102;First Kills;tiziaN;1;electronic;0;
70102;First Kills;tiziaN;0;flamie;1;
70102;First Kills;tiziaN;0;s1mple;0;
70102;First Kills;smooya;0;Edward;0;
70102;First Kills;smooya;1;Zeus;0;
70102;First Kills;smooya;0;electronic;0;
70102;First Kills;smooya;0;s1mple;0;
70102;First Kills;smooya;1;flamie;0;
70102;First Kills;nex;0;Edward;0;
70102;First Kills;nex;1;electronic;0;
70102;First Kills;nex;0;flamie;2;
70102;First Kills;nex;0;s1mple;1;
70102;First Kills;nex;0;Zeus;0;
70102;First Kills;gob b;0;Edward;0;
70102;First Kills;gob b;0;electronic;0;
70102;First Kills;gob b;0;Zeus;1;
70102;First Kills;gob b;1;flamie;2;
70102;First Kills;gob b;0;s1mple;1;
70102;Awp Kills;tabseN;1;Edward;0;
70102;Awp Kills;tabseN;0;Zeus;0;
70102;Awp Kills;tabseN;1;electronic;0;
70102;Awp Kills;tabseN;3;flamie;1;
70102;Awp Kills;tabseN;1;s1mple;1;
70102;Awp Kills;tiziaN;0;Edward;0;
70102;Awp Kills;tiziaN;0;Zeus;0;
70102;Awp Kills;tiziaN;0;electronic;0;
70102;Awp Kills;tiziaN;0;flamie;1;
70102;Awp Kills;tiziaN;0;s1mple;0;
70102;Awp Kills;smooya;2;Edward;0;
70102;Awp Kills;smooya;4;Zeus;0;
70102;Awp Kills;smooya;2;electronic;0;
70102;Awp Kills;smooya;1;flamie;0;
70102;Awp Kills;smooya;1;s1mple;1;
70102;Awp Kills;nex;0;Edward;0;
70102;Awp Kills;nex;0;Zeus;0;
70102;Awp Kills;nex;0;electronic;0;
70102;Awp Kills;nex;0;flamie;2;
70102;Awp Kills;nex;0;s1mple;1;
70102;Awp Kills;gob b;0;Edward;0;
70102;Awp Kills;gob b;0;Zeus;0;
70102;Awp Kills;gob b;0;electronic;0;
70102;Awp Kills;gob b;0;flamie;1;
70102;Awp Kills;gob b;0;s1mple;1;
