match_id;event_id;date;team1;team1_score;team1_clutches;team1_rating;team1_firstkills;team2;team2_score;team2_clutches;team2_rating;team2_firstkills;map;event
70724;3515;2018-07-25;Liquid;16;0 ;1.23;15 ;MIBR;10; 1;0.83; 11;Cache;ELEAGUE CS:GO Premier 2018;
70727;3515;2018-07-25;mousesports;13;1 ;1.10;14 ;fnatic;16; 3;1.02; 14;Inferno;ELEAGUE CS:GO Premier 2018;
70726;3515;2018-07-25;Liquid;16;2 ;1.29;17 ;MIBR;10; 1;0.83; 8;Overpass;ELEAGUE CS:GO Premier 2018;
70631;3515;2018-07-22;FaZe;16;3 ;1.12;16 ;mousesports;11; 0;0.97; 11;Train;ELEAGUE CS:GO Premier 2018;
70655;3515;2018-07-23;Astralis;16;2 ;1.31;15 ;Liquid;7; 1;0.85; 8;Mirage;ELEAGUE CS:GO Premier 2018;
70679;3515;2018-07-24;Cloud9;5;2 ;0.64;8 ;MIBR;16; 0;1.47; 13;Inferno;ELEAGUE CS:GO Premier 2018;
70553;3515;2018-07-21;Liquid;16;3 ;1.32;15 ;MIBR;8; 0;0.82; 9;Inferno;ELEAGUE CS:GO Premier 2018;
70548;3515;2018-07-21;Astralis;16;3 ;1.31;16 ;Cloud9;9; 2;0.80; 9;Overpass;ELEAGUE CS:GO Premier 2018;
70682;3515;2018-07-24;Cloud9;17;1 ;1.04;12 ;MIBR;19; 1;1.11; 24;Cache;ELEAGUE CS:GO Premier 2018;
70562;3515;2018-07-21;Liquid;16;1 ;1.27;13 ;MIBR;9; 0;0.85; 12;Cache;ELEAGUE CS:GO Premier 2018;
70616;3515;2018-07-22;Natus Vincere;16;2 ;1.20;17 ;fnatic;13; 3;0.91; 12;Mirage;ELEAGUE CS:GO Premier 2018;
70661;3515;2018-07-23;Natus Vincere;16;2 ;1.14;12 ;mousesports;11; 0;0.96; 15;Mirage;ELEAGUE CS:GO Premier 2018;
70632;3515;2018-07-22;FaZe;12;0 ;0.98;10 ;mousesports;16; 2;1.09; 18;Cache;ELEAGUE CS:GO Premier 2018;
70657;3515;2018-07-23;Natus Vincere;16;0 ;1.32;15 ;mousesports;7; 2;0.74; 8;Train;ELEAGUE CS:GO Premier 2018;
70729;3515;2018-07-25;mousesports;16;0 ;1.15;18 ;fnatic;14; 0;0.89; 12;Train;ELEAGUE CS:GO Premier 2018;
70651;3515;2018-07-23;Astralis;16;1 ;1.06;13 ;Liquid;12; 1;1.05; 15;Nuke;ELEAGUE CS:GO Premier 2018;
70692;3515;2018-07-24;fnatic;16;2 ;0.99;15 ;FaZe;14; 2;1.19; 15;Mirage;ELEAGUE CS:GO Premier 2018;
70688;3515;2018-07-24;fnatic;19;2 ;1.16;20 ;FaZe;15; 2;0.95; 14;Dust2;ELEAGUE CS:GO Premier 2018;
70536;3515;2018-07-21;Astralis;19;0 ;1.17;21 ;Cloud9;15; 2;0.93; 13;Inferno;ELEAGUE CS:GO Premier 2018;
70656;3515;2018-07-23;Natus Vincere;14;1 ;0.91;11 ;mousesports;16; 0;1.15; 19;Inferno;ELEAGUE CS:GO Premier 2018;
70619;3515;2018-07-22;Natus Vincere;11;1 ;0.86;10 ;fnatic;16; 2;1.26; 17;Inferno;ELEAGUE CS:GO Premier 2018;
70733;3515;2018-07-25;mousesports;16;0 ;1.18;19 ;fnatic;9; 1;0.89; 6;Mirage;ELEAGUE CS:GO Premier 2018;
70628;3515;2018-07-22;Natus Vincere;16;3 ;1.32;16 ;fnatic;8; 1;0.85; 8;Train;ELEAGUE CS:GO Premier 2018;
69952;3392;2018-07-05;North;9;1 ;0.74;8 ;MIBR;16; 0;1.36; 17;Overpass;ESL One Cologne 2018;
68689;3649;2018-06-14;BIG;16;1 ;1.57;15 ;Não Tem Como;4; 0;0.55; 5;Dust2;ESL One Belo Horizonte 2018;
68917;3649;2018-06-17;FaZe;16;4 ;1.22;9 ;mousesports;10; 0;0.89; 17;Dust2;ESL One Belo Horizonte 2018;
69899;3392;2018-07-03;Astralis;16;0 ;1.67;12 ;Cloud9;1; 0;0.41; 5;Overpass;ESL One Cologne 2018;
69942;3392;2018-07-04;Cloud9;12;4 ;0.94;13 ;Natus Vincere;16; 2;1.19; 15;Overpass;ESL One Cologne 2018;
68328;3460;2018-06-08;fnatic;14;1 ;0.88;14 ;Liquid;16; 1;1.20; 16;;ECS Season 5 Finals;
68332;3460;2018-06-08;NRG;16;0 ;1.50;16 ;G2;4; 1;0.60; 4;;ECS Season 5 Finals;
68336;3460;2018-06-08;FaZe;16;1 ;1.73;16 ;Luminosity;1; 0;0.35; 1;;ECS Season 5 Finals;
68908;3649;2018-06-17;FaZe;16;1 ;1.36;11 ;mousesports;6; 0;0.77; 11;Inferno;ESL One Belo Horizonte 2018;
68327;3460;2018-06-08;Astralis;16;0 ;1.16;17 ;Cloud9;13; 3;0.89; 12;;ECS Season 5 Finals;
70075;3392;2018-07-07;FaZe;6;1 ;0.73;8 ;BIG;16; 3;1.36; 14;Inferno;ESL One Cologne 2018;
69950;3392;2018-07-05;Renegades;16;3 ;1.08;16 ;BIG;13; 2;0.98; 13;Dust2;ESL One Cologne 2018;
68344;3460;2018-06-08;NRG;16;3 ;1.36;18 ;FaZe;8; 1;0.82; 6;;ECS Season 5 Finals;
69958;3392;2018-07-05;ENCE;16;1 ;1.06;18 ;Natus Vincere;14; 1;1.00; 12;Dust2;ESL One Cologne 2018;
68916;3649;2018-06-17;FaZe;16;0 ;1.36;14 ;mousesports;9; 2;0.77; 11;Mirage;ESL One Belo Horizonte 2018;
68749;3649;2018-06-15;SK;16;2 ;1.27;11 ;Space Soldiers;6; 1;0.78; 11;Dust2;ESL One Belo Horizonte 2018;
69955;3392;2018-07-05;North;12;2 ;0.84;9 ;MIBR;16; 1;1.34; 19;Inferno;ESL One Cologne 2018;
68662;3649;2018-06-13;Ghost;4;0 ;0.63;4 ;SK;16; 1;1.54; 16;Dust2;ESL One Belo Horizonte 2018;
68330;3460;2018-06-08;Astralis;16;1 ;1.33;13 ;Liquid;6; 0;0.73; 9;;ECS Season 5 Finals;
68626;3649;2018-06-13;FaZe;16;2 ;1.24;12 ;Ghost;8; 1;0.81; 12;Dust2;ESL One Belo Horizonte 2018;
69938;3392;2018-07-04;BIG;10;1 ;0.96;11 ;fnatic;16; 1;1.12; 15;Cache;ESL One Cologne 2018;
69949;3392;2018-07-05;North;16;5 ;1.10;16 ;MIBR;14; 2;1.07; 14;Mirage;ESL One Cologne 2018;
68800;3649;2018-06-16;mousesports;16;0 ;1.16;18 ;SK;12; 2;0.84; 10;Train;ESL One Belo Horizonte 2018;
68795;3649;2018-06-16;mousesports;16;0 ;1.21;14 ;SK;7; 0;0.82; 9;Dust2;ESL One Belo Horizonte 2018;
68701;3649;2018-06-14;FaZe;16;1 ;1.28;11 ;Space Soldiers;6; 0;0.81; 11;Mirage;ESL One Belo Horizonte 2018;
69937;3392;2018-07-04;Cloud9;14;1 ;1.00;16 ;Natus Vincere;16; 2;1.11; 14;Inferno;ESL One Cologne 2018;
69936;3392;2018-07-04;FaZe;16;2 ;1.07;12 ;MIBR;12; 0;0.98; 16;Mirage;ESL One Cologne 2018;
70095;3392;2018-07-08;Natus Vincere;11;1 ;0.89;11 ;BIG;16; 0;1.25; 16;Dust2;ESL One Cologne 2018;
69926;3392;2018-07-04;Liquid;16;2 ;1.04;17 ;North;19; 2;1.04; 18;Train;ESL One Cologne 2018;
68637;3649;2018-06-13;BIG;11;0 ;0.94;13 ;Liquid;16; 1;1.12; 14;Inferno;ESL One Belo Horizonte 2018;
68697;3649;2018-06-14;FaZe;16;1 ;1.20;15 ;Space Soldiers;9; 1;0.90; 10;Inferno;ESL One Belo Horizonte 2018;
68754;3649;2018-06-15;BIG;12;0 ;0.94;18 ;Liquid;16; 0;1.18; 10;Cache;ESL One Belo Horizonte 2018;
68913;3649;2018-06-17;FaZe;12;2 ;0.93;16 ;mousesports;16; 1;1.15; 12;Train;ESL One Belo Horizonte 2018;
68479;3460;2018-06-10;Liquid;11;2 ;1.08;11 ;Astralis;16; 2;1.11; 16;Dust2;ECS Season 5 Finals;
70051;3392;2018-07-07;FaZe;19;1 ;0.99;18 ;BIG;17; 1;1.08; 18;Dust2;ESL One Cologne 2018;
68368;3460;2018-06-09;G2;16;3 ;1.17;17 ;Luminosity;11; 1;0.89; 10;Cache;ECS Season 5 Finals;
69928;3392;2018-07-04;Renegades;16;1 ;1.36;14 ;BOOT-d[S];7; 0;0.75; 9;Train;ESL One Cologne 2018;
68400;3460;2018-06-09;FaZe;16;2 ;1.27;14 ;G2;10; 1;0.87; 12;Mirage;ECS Season 5 Finals;
69924;3392;2018-07-04;Renegades;16;1 ;1.38;18 ;BOOT-d[S];8; 1;0.69; 6;Cache;ESL One Cologne 2018;
68706;3649;2018-06-14;Liquid;9;0 ;0.82;8 ;mousesports;16; 3;1.31; 17;Inferno;ESL One Belo Horizonte 2018;
69907;3392;2018-07-03;Gambit;5;0 ;0.85;11 ;Natus Vincere;16; 2;1.29; 10;Train;ESL One Cologne 2018;
68462;3460;2018-06-10;Astralis;16;0 ;1.30;13 ;FaZe;8; 0;0.78; 11;Inferno;ECS Season 5 Finals;
68654;3649;2018-06-13;mousesports;16;1 ;1.10;14 ;Não Tem Como;12; 1;0.97; 14;Mirage;ESL One Belo Horizonte 2018;
68686;3649;2018-06-14;BIG;9;2 ;0.88;13 ;Não Tem Como;16; 5;1.21; 12;Train;ESL One Belo Horizonte 2018;
68787;3649;2018-06-16;FaZe;16;1 ;1.22;11 ;Liquid;7; 0;0.85; 12;Mirage;ESL One Belo Horizonte 2018;
68628;3649;2018-06-13;Space Soldiers;16;1 ;1.17;18 ;SK;11; 2;0.93; 9;Inferno;ESL One Belo Horizonte 2018;
69985;3392;2018-07-05;MIBR;16;1 ;1.28;11 ;BIG;9; 2;0.82; 14;Overpass;ESL One Cologne 2018;
68636;3649;2018-06-13;mousesports;16;0 ;1.49;13 ;Não Tem Como;3; 1;0.58; 6;Train;ESL One Belo Horizonte 2018;
70000;3392;2018-07-06;Natus Vincere;16;2 ;1.23;13 ;fnatic;12; 2;0.91; 15;Overpass;ESL One Cologne 2018;
69959;3392;2018-07-05;Astralis;19;1 ;1.19;21 ;G2;16; 2;0.82; 14;Dust2;ESL One Cologne 2018;
68365;3460;2018-06-09;G2;16;1 ;1.16;12 ;Luminosity;9; 2;0.89; 13;Overpass;ECS Season 5 Finals;
69956;3392;2018-07-05;Renegades;17;3 ;1.05;17 ;BIG;19; 2;1.04; 19;Inferno;ESL One Cologne 2018;
69910;3392;2018-07-03;mousesports;14;3 ;0.94;15 ;G2;16; 2;1.18; 15;Dust2;ESL One Cologne 2018;
69932;3392;2018-07-04;ENCE;19;3 ;1.04;20 ;mousesports;17; 3;1.06; 16;Inferno;ESL One Cologne 2018;
69988;3392;2018-07-05;FaZe;16;2 ;1.61;14 ;fnatic;1; 0;0.52; 3;Inferno;ESL One Cologne 2018;
68708;3649;2018-06-14;Liquid;5;4 ;0.74;9 ;mousesports;16; 1;1.43; 12;Train;ESL One Belo Horizonte 2018;
69894;3392;2018-07-03;Astralis;16;1 ;1.13;13 ;Cloud9;12; 0;0.94; 15;Mirage;ESL One Cologne 2018;
69982;3392;2018-07-05;FaZe;16;2 ;1.51;13 ;fnatic;4; 1;0.66; 7;Overpass;ESL One Cologne 2018;
68359;3460;2018-06-09;Cloud9;9;1 ;1.02;12 ;fnatic;16; 5;1.11; 13;Train;ECS Season 5 Finals;
69900;3392;2018-07-03;Gambit;6;0 ;0.85;10 ;Natus Vincere;16; 1;1.33; 12;Overpass;ESL One Cologne 2018;
68362;3460;2018-06-09;Cloud9;13;2 ;1.12;14 ;fnatic;16; 3;1.04; 15;Cache;ECS Season 5 Finals;
69935;3392;2018-07-04;ENCE;16;1 ;1.22;11 ;mousesports;12; 2;0.91; 17;Mirage;ESL One Cologne 2018;
70090;3392;2018-07-08;Natus Vincere;16;0 ;1.22;16 ;BIG;10; 1;0.88; 10;Overpass;ESL One Cologne 2018;
68757;3649;2018-06-15;BIG;10;2 ;0.88;10 ;Liquid;16; 1;1.20; 16;Inferno;ESL One Belo Horizonte 2018;
68390;3460;2018-06-09;FaZe;16;2 ;1.19;13 ;G2;9; 0;0.96; 12;Inferno;ECS Season 5 Finals;
68457;3460;2018-06-10;Astralis;16;1 ;1.03;18 ;FaZe;14; 1;1.01; 12;Train;ECS Season 5 Finals;
68472;3460;2018-06-10;Liquid;14;3 ;1.12;17 ;Astralis;16; 4;1.05; 13;Mirage;ECS Season 5 Finals;
69915;3392;2018-07-03;mousesports;9;0 ;0.87;11 ;G2;16; 1;1.19; 14;Inferno;ESL One Cologne 2018;
68454;3460;2018-06-10;NRG;8;1 ;0.80;10 ;Liquid;16; 2;1.26; 14;Nuke;ECS Season 5 Finals;
68357;3460;2018-06-09;Cloud9;16;2 ;1.17;19 ;fnatic;14; 3;0.95; 11;Overpass;ECS Season 5 Finals;
68372;3460;2018-06-09;Liquid;16;0 ;1.44;15 ;fnatic;5; 0;0.63; 6;Nuke;ECS Season 5 Finals;
69914;3392;2018-07-03;mousesports;16;3 ;1.20;19 ;G2;10; 2;0.94; 7;Mirage;ESL One Cologne 2018;
68687;3649;2018-06-14;BIG;16;1 ;1.22;16 ;Não Tem Como;12; 3;0.89; 12;Overpass;ESL One Belo Horizonte 2018;
70099;3392;2018-07-08;Natus Vincere;16;1 ;1.19;12 ;BIG;10; 1;0.93; 14;Train;ESL One Cologne 2018;
68613;3649;2018-06-13;Space Soldiers;16;1 ;1.19;17 ;SK;13; 1;0.97; 12;Cache;ESL One Belo Horizonte 2018;
68659;3649;2018-06-13;Ghost;6;2 ;0.79;9 ;SK;16; 3;1.31; 13;Inferno;ESL One Belo Horizonte 2018;
70008;3392;2018-07-06;BIG;16;2 ;1.60;12 ;G2;1; 0;0.52; 5;Dust2;ESL One Cologne 2018;
68453;3460;2018-06-10;NRG;6;3 ;0.75;7 ;Liquid;16; 2;1.45; 15;Inferno;ECS Season 5 Finals;
69987;3392;2018-07-05;FaZe;11;1 ;0.98;14 ;fnatic;16; 2;1.10; 13;Mirage;ESL One Cologne 2018;
68630;3649;2018-06-13;BIG;14;2 ;0.99;13 ;Liquid;16; 0;1.13; 17;Cache;ESL One Belo Horizonte 2018;
69931;3392;2018-07-04;Liquid;11;2 ;0.98;16 ;North;16; 1;1.09; 11;Inferno;ESL One Cologne 2018;
70102;3392;2018-07-08;Natus Vincere;16;2 ;1.29;13 ;BIG;8; 2;0.82; 11;Inferno;ESL One Cologne 2018;
68784;3649;2018-06-16;FaZe;14;0 ;0.99;16 ;Liquid;16; 0;1.07; 14;Dust2;ESL One Belo Horizonte 2018;
70021;3392;2018-07-07;Astralis;13;1 ;0.94;11 ;Natus Vincere;16; 1;1.15; 18;Overpass;ESL One Cologne 2018;
68911;3649;2018-06-17;FaZe;14;2 ;0.94;6 ;mousesports;16; 3;1.16; 24;Cache;ESL One Belo Horizonte 2018;
70035;3392;2018-07-07;Astralis;13;2 ;1.05;16 ;Natus Vincere;16; 3;1.14; 13;Inferno;ESL One Cologne 2018;
68781;3649;2018-06-16;FaZe;16;1 ;1.43;13 ;Liquid;3; 0;0.72; 6;Nuke;ESL One Belo Horizonte 2018;
70027;3392;2018-07-07;Astralis;16;1 ;1.39;14 ;Natus Vincere;6; 1;0.75; 8;Nuke;ESL One Cologne 2018;
70067;3392;2018-07-07;FaZe;13;1 ;1.03;17 ;BIG;16; 3;1.05; 12;Train;ESL One Cologne 2018;
69981;3392;2018-07-05;MIBR;9;1 ;0.81;10 ;BIG;16; 1;1.26; 15;Cache;ESL One Cologne 2018;
70005;3392;2018-07-06;BIG;19;5 ;1.03;19 ;G2;17; 3;1.15; 17;Cache;ESL One Cologne 2018;
69989;3392;2018-07-05;MIBR;20;2 ;1.13;25 ;BIG;22; 0;0.98; 17;Inferno;ESL One Cologne 2018;
69953;3392;2018-07-05;Renegades;12;1 ;0.94;11 ;BIG;16; 1;1.14; 17;Train;ESL One Cologne 2018;
69941;3392;2018-07-04;BIG;4;1 ;0.70;10 ;fnatic;16; 1;1.43; 10;Train;ESL One Cologne 2018;
70001;3392;2018-07-06;Natus Vincere;16;3 ;1.28;16 ;fnatic;10; 1;0.80; 10;Train;ESL One Cologne 2018;
68373;3460;2018-06-09;Liquid;16;0 ;1.15;12 ;fnatic;13; 4;0.94; 17;Inferno;ECS Season 5 Finals;
68746;3649;2018-06-15;SK;16;2 ;1.14;21 ;Space Soldiers;14; 3;1.00; 9;Cache;ESL One Belo Horizonte 2018;
69967;3392;2018-07-05;Astralis;16;2 ;1.38;10 ;G2;4; 0;0.70; 10;Nuke;ESL One Cologne 2018;
69977;3392;2018-07-05;ENCE;7;3 ;0.72;7 ;Natus Vincere;16; 3;1.46; 16;Nuke;ESL One Cologne 2018;
69934;3392;2018-07-04;FaZe;16;0 ;1.16;15 ;MIBR;9; 0;0.84; 10;Dust2;ESL One Cologne 2018;
68612;3649;2018-06-13;FaZe;16;1 ;1.38;10 ;Ghost;4; 0;0.73; 10;Overpass;ESL One Belo Horizonte 2018;
69965;3392;2018-07-05;ENCE;14;1 ;0.98;14 ;Natus Vincere;16; 2;1.12; 16;Mirage;ESL One Cologne 2018;
66947;3373;2018-05-15;SK;19;5 ;1.10;23 ;NiP;16; 2;0.98; 12;;ESL Pro League Season 7 Finals;
66944;3373;2018-05-15;OpTic;3;1 ;0.66;7 ;Astralis;16; 2;1.50; 12;;ESL Pro League Season 7 Finals;
66959;3373;2018-05-15;FaZe;16;2 ;1.12;19 ;mousesports;14; 2;1.05; 11;Overpass;ESL Pro League Season 7 Finals;
67045;3373;2018-05-17;OpTic;16;1 ;1.51;11 ;Space Soldiers;4; 0;0.60; 9;Inferno;ESL Pro League Season 7 Finals;
68039;3666;2018-06-02;SK;6;2 ;0.71;7 ;Natus Vincere;16; 1;1.38; 15;Overpass;StarSeries i-League Season 5;
67866;3666;2018-05-31;mousesports;16;3 ;1.35;17 ;Natus Vincere;5; 0;0.73; 4;Mirage;StarSeries i-League Season 5;
67930;3666;2018-06-01;Renegades;7;0 ;0.75;10 ;NRG;16; 0;1.32; 13;Overpass;StarSeries i-League Season 5;
