match_id;team;ct_wins;tr_wins;defused;exploded
70724;Liquid;7;2;1;5;
70724;MIBR;2;3;1;3;
70727;mousesports;7;2;0;4;
70727;fnatic;3;6;2;2;
70726;Liquid;7;6;1;2;
70726;MIBR;2;2;1;5;
70631;mousesports;2;2;3;2;
70631;FaZe;9;3;2;2;
70655;Astralis;4;5;4;2;
70655;Liquid;1;5;0;1;
70679;Cloud9;0;3;0;1;
70679;MIBR;10;2;1;3;
70553;Liquid;5;4;3;3;
70553;MIBR;0;3;1;3;
70548;Cloud9;5;2;0;1;
70548;Astralis;6;5;1;4;
70682;MIBR;3;6;2;4;
70682;Cloud9;5;5;0;5;
70562;Liquid;4;8;3;1;
70562;MIBR;1;5;0;3;
70616;Natus Vincere;7;4;2;3;
70616;fnatic;2;2;3;4;
70661;mousesports;4;2;2;2;
70661;Natus Vincere;7;4;1;4;
70632;mousesports;5;6;1;4;
70632;FaZe;3;5;1;2;
70657;Natus Vincere;12;2;0;2;
70657;mousesports;2;2;2;1;
70729;fnatic;3;1;3;6;
70729;mousesports;6;4;1;4;
70651;Liquid;7;3;1;1;
70651;Astralis;8;5;0;2;
70692;FaZe;3;8;2;1;
70692;fnatic;4;5;2;5;
70688;fnatic;4;7;2;2;
70688;FaZe;3;3;1;6;
70536;Astralis;7;4;1;3;
70536;Cloud9;3;5;4;2;
70656;mousesports;5;3;1;6;
70656;Natus Vincere;6;2;0;6;
70619;fnatic;6;7;1;2;
70619;Natus Vincere;1;7;1;1;
70733;fnatic;4;3;1;1;
70733;mousesports;6;4;3;1;
70628;Natus Vincere;6;5;2;3;
70628;fnatic;1;6;0;1;
69952;North;2;2;1;3;
69952;MIBR;5;9;0;2;
68689;Não Tem Como;0;0;1;3;
68689;BIG;9;4;1;0;
68917;mousesports;2;4;0;4;
68917;FaZe;4;6;3;3;
69899;Astralis;10;2;3;0;
69899;Cloud9;0;1;0;0;
69942;Natus Vincere;3;8;1;2;
69942;Cloud9;3;5;1;2;
68328;fnatic;1;4;2;7;
68328;Liquid;3;10;1;2;
68332;G2;2;1;1;0;
68332;NRG;9;2;4;0;
68336;Luminosity;0;1;0;0;
68336;FaZe;12;2;2;0;
68908;mousesports;0;4;0;2;
68908;FaZe;8;5;1;2;
68327;Astralis;11;2;0;1;
68327;Cloud9;7;0;5;1;
70075;BIG;8;3;3;1;
70075;FaZe;2;2;1;1;
69950;BIG;7;0;2;4;
69950;Renegades;6;5;3;1;
68344;NRG;8;5;3;0;
68344;FaZe;2;3;2;1;
69958;Natus Vincere;3;6;1;2;
69958;ENCE;5;5;2;4;
68916;FaZe;2;7;1;5;
68916;mousesports;1;2;2;4;
68749;Space Soldiers;3;0;1;1;
