match_id;team1;player;kills;assists;deaths;kast;adr;fkDiff;rating
70724;Liquid;Twistzz;24 ;4 ;15;84.6%;88.0;+4;1.43;
70724;Liquid;NAF;24 ;5 ;12;84.6%;83.7;+1;1.38;
70724;Liquid;TACO;17 ;6 ;12;69.2%;78.8;+2;1.22;
70724;Liquid;EliGE;20 ;8 ;15;80.8%;88.5;-2;1.20;
70724;Liquid;nitr0;13 ;9 ;17;73.1%;66.4;-1;0.90;
70724;MIBR;coldzera;21 ;3 ;16;80.8%;75.2;+1;1.18;
70724;MIBR;FalleN;17 ;2 ;17;61.5%;71.0;-3;0.98;
70724;MIBR;fer;12 ;4 ;21;53.8%;74.9;-1;0.75;
70724;MIBR;Stewie2K;10 ;5 ;22;61.5%;53.8;-2;0.65;
70724;MIBR;tarik;11 ;2 ;22;42.3%;52.0;+1;0.59;
70727;mousesports;suNny;27 ;7 ;19;86.2%;105.8;0;1.45;
70727;mousesports;oskar;23 ;7 ;16;75.9%;84.3;+2;1.34;
70727;mousesports;Snax;18 ;6 ;17;72.4%;76.7;+1;1.09;
70727;mousesports;ropz;15 ;4 ;15;82.8%;50.8;0;0.95;
70727;mousesports;chrisJ;9 ;3 ;20;69.0%;34.5;-3;0.66;
70727;fnatic;JW;21 ;6 ;20;65.5%;73.9;+2;1.14;
70727;fnatic;KRIMZ;19 ;3 ;17;75.9%;65.5;0;1.07;
70727;fnatic;flusha;19 ;6 ;20;65.5%;89.4;+1;1.11;
70727;fnatic;Xizt;14 ;4 ;19;72.4%;67.4;-1;0.92;
70727;fnatic;draken;14 ;5 ;17;62.1%;51.7;-3;0.86;
70726;Liquid;EliGE;22 ;2 ;16;84.6%;94.1;+1;1.38;
70726;Liquid;Twistzz;24 ;4 ;11;88.5%;88.0;+3;1.55;
70726;Liquid;nitr0;21 ;2 ;17;92.3%;74.6;+1;1.31;
70726;Liquid;NAF;18 ;4 ;14;80.8%;77.0;+3;1.27;
70726;Liquid;TACO;13 ;5 ;14;80.8%;57.0;+1;0.95;
70726;MIBR;fer;17 ;4 ;21;65.4%;75.2;0;0.98;
70726;MIBR;FalleN;18 ;4 ;18;69.2%;71.9;-2;1.02;
70726;MIBR;coldzera;13 ;4 ;18;61.5%;62.4;-2;0.81;
70726;MIBR;tarik;16 ;4 ;20;65.4%;66.7;-1;0.79;
70726;MIBR;Stewie2K;8 ;7 ;21;65.4%;45.4;-4;0.57;
70631;FaZe;NiKo;23 ;4 ;15;74.1%;86.3;+1;1.38;
70631;FaZe;olofmeister;25 ;3 ;17;74.1%;97.3;0;1.30;
70631;FaZe;karrigan;16 ;6 ;19;66.7%;80.7;+4;1.13;
70631;FaZe;GuardiaN;15 ;2 ;14;66.7%;51.2;-1;0.98;
70631;FaZe;rain;15 ;5 ;22;70.4%;69.9;+1;0.83;
70631;mousesports;oskar;18 ;8 ;18;70.4%;94.0;+1;1.17;
70631;mousesports;Snax;16 ;6 ;20;55.6%;80.2;-2;0.93;
70631;mousesports;ropz;21 ;2 ;18;63.0%;63.7;-3;1.03;
70631;mousesports;suNny;17 ;2 ;20;66.7%;75.5;-1;0.91;
