id;name;points
6665;Astralis;1000
4608;Natus Vincere;843
5973;Liquid;498
6667;FaZe;469
4494;mousesports;384
7532;BIG;369
9215;MIBR;323
4991;fnatic;276
6673;NRG;272
7533;North;199
5995;G2;178
4863;TYLOO;164
4869;ENCE;158
4411;NiP;149
6211;Renegades;135
5310;HellRaisers;116
5752;Cloud9;114
6651;Gambit;111
5378;Virtus.pro;106
6615;OpTic;102
6134;Kinguin;85
7157;Rogue;83
8068;AGO;83
8120;AVANGAR;81
6290;Luminosity;78
5005;compLexity;77
7701;Imperial;76
5929;Space Soldiers;73
6855;Fragsters;71
7106;eUnited;70
